IKN;Yuklenici Firma;Ihale Adi;Parti No;Parti Son Teslim Tarihi;Parti Tutari;Ambar teslimi gerceklesti;Testler basladi;Test sonuclari geldi;Muayene - Kabul  Evragi imzada;Kabul Yapildi;Fatura Kesildi;Odeme Emri Hazirlandi;Aciklama;SonGuncelleme;Parti Miktari;Sozlesme Tarihi;Malzeme Detayi;Heyet Baskanina Haber Verildi;Testler Basladi Detay;Test Sonuclari Geldi Detay;Ihale Turu;Ihale Usulu;Yak. Maliyet;Ihale Tarihi;Ise Baslama Tarihi;Isin Suresi;Cari No;Proje No;Kart No
2024/1086581;Uğur Payza Döküm Metal İnşaat Sanayi ve Ticaret Anonim Şirketi;30.000 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini İşi;1;2024-12-27;10250000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 09:52);2.500;2024-11-28;;0.0;;;;;187786200;;2024-11-29;29 Gün;;;
2024/1086581;Uğur Payza Döküm Metal İnşaat Sanayi ve Ticaret Anonim Şirketi;30.000 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini İşi;2;2025-01-26;10250000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 09:52);2.500;2024-11-28;;0.0;;;;;187786200;;2024-11-29;59 Gün;;;
2024/1086581;Uğur Payza Döküm Metal İnşaat Sanayi ve Ticaret Anonim Şirketi;30.000 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini İşi;3;2025-02-25;10250000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 09:52);2.500;2024-11-28;;0.0;;;;;187786200;;2024-11-29;89 Gün;;;
2024/1086581;Uğur Payza Döküm Metal İnşaat Sanayi ve Ticaret Anonim Şirketi;30.000 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini İşi;4;2025-03-27;10250000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 09:52);2.500;2024-11-28;;0.0;;;;;187786200;;2024-11-29;119 Gün;;;
2024/1086581;Uğur Payza Döküm Metal İnşaat Sanayi ve Ticaret Anonim Şirketi;30.000 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini İşi;5;2025-04-26;10250000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 09:52);2.500;2024-11-28;;0.0;;;;;187786200;;2024-11-29;149 Gün;;;
2024/1086581;Uğur Payza Döküm Metal İnşaat Sanayi ve Ticaret Anonim Şirketi;30.000 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini İşi;6;2025-05-26;10250000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 09:52);2.500;2024-11-28;;0.0;;;;;187786200;;2024-11-29;179 Gün;;;
2024/1086581;Uğur Payza Döküm Metal İnşaat Sanayi ve Ticaret Anonim Şirketi;30.000 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini İşi;7;2025-06-25;10250000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 09:52);2.500;2024-11-28;;0.0;;;;;187786200;;2024-11-29;209 Gün;;;
2024/1086581;Uğur Payza Döküm Metal İnşaat Sanayi ve Ticaret Anonim Şirketi;30.000 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini İşi;8;2025-07-25;10250000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 09:52);2.500;2024-11-28;;0.0;;;;;187786200;;2024-11-29;239 Gün;;;
2024/1086581;Uğur Payza Döküm Metal İnşaat Sanayi ve Ticaret Anonim Şirketi;30.000 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini İşi;9;2025-08-24;10250000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 09:52);2.500;2024-11-28;;0.0;;;;;187786200;;2024-11-29;269 Gün;;;
2024/1086581;Uğur Payza Döküm Metal İnşaat Sanayi ve Ticaret Anonim Şirketi;30.000 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini İşi;10;2025-09-23;10250000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 09:52);2.500;2024-11-28;;0.0;;;;;187786200;;2024-11-29;299 Gün;;;
2024/1086581;Uğur Payza Döküm Metal İnşaat Sanayi ve Ticaret Anonim Şirketi;30.000 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini İşi;11;2025-10-23;10250000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 09:52);2.500;2024-11-28;;0.0;;;;;187786200;;2024-11-29;329 Gün;;;
2024/1086581;Uğur Payza Döküm Metal İnşaat Sanayi ve Ticaret Anonim Şirketi;30.000 Adet Özel Kilit Sistemli Küresel Grafitli Dökme Demir Parsel Bacası Kapama Takımı (D400) Temini İşi;12;2025-11-22;10250000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 09:52);2.500;2024-11-28;;0.0;;;;;187786200;;2024-11-29;359 Gün;;;
2024/602630;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;400.000 Adet Eğik Kadranlı DN20mm Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;1;2024-08-30;34900000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 11:06);40.000;2024-08-01;;0.0;;;;;406400000;;2024-08-02;29 Gün;;;
2024/602630;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;400.000 Adet Eğik Kadranlı DN20mm Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;2;2024-09-29;34900000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 11:06);40.000;2024-08-01;;0.0;;;;;406400000;;2024-08-02;59 Gün;;;
2024/602630;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;400.000 Adet Eğik Kadranlı DN20mm Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;3;2024-10-29;34900000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 11:06);40.000;2024-08-01;;0.0;;;;;406400000;;2024-08-02;89 Gün;;;
2024/602630;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;400.000 Adet Eğik Kadranlı DN20mm Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;4;2024-11-28;34900000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 11:06);40.000;2024-08-01;;0.0;;;;;406400000;;2024-08-02;119 Gün;;;
2024/602630;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;400.000 Adet Eğik Kadranlı DN20mm Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;5;2024-12-28;34900000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 11:06);40.000;2024-08-01;;0.0;;;;;406400000;;2024-08-02;149 Gün;;;
2024/602630;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;400.000 Adet Eğik Kadranlı DN20mm Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;6;2025-01-27;34900000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 11:06);40.000;2024-08-01;;0.0;;;;;406400000;;2024-08-02;179 Gün;;;
2024/602630;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;400.000 Adet Eğik Kadranlı DN20mm Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;7;2025-02-26;34900000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 11:06);40.000;2024-08-01;;0.0;;;;;406400000;;2024-08-02;209 Gün;;;
2024/602630;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;400.000 Adet Eğik Kadranlı DN20mm Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;8;2025-03-28;34900000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 11:06);40.000;2024-08-01;;0.0;;;;;406400000;;2024-08-02;239 Gün;;;
2024/602630;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;400.000 Adet Eğik Kadranlı DN20mm Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;9;2025-04-27;34900000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 11:06);40.000;2024-08-01;;0.0;;;;;406400000;;2024-08-02;269 Gün;;;
2024/602630;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;400.000 Adet Eğik Kadranlı DN20mm Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;10;2025-05-27;34900000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 11:06);40.000;2024-08-01;;0.0;;;;;406400000;;2024-08-02;299 Gün;;;
2025/1273152;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;450.000 Adet DN20 mm Eğik Kadranlı, Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;1;2025-11-28;12320000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 11:07);10.000;2025-10-28;;0.0;;;;;;;2025-10-29;31 Gün;;;
2025/1273152;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;450.000 Adet DN20 mm Eğik Kadranlı, Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;2;2025-12-28;12320000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (25.03.2026 11:07);10.000;2025-10-28;;0.0;;;;;;;2025-10-29;61 Gün;;;
2025/1273152;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;450.000 Adet DN20 mm Eğik Kadranlı, Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;3;2026-01-27;43120000.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;Numuneler UGETAM'a teslim edildi. (14/01/2026);Düzenleme: Halil (26.03.2026 08:25);35.000;2025-10-28;;0.0;;;;;;;2025-10-29;91 Gün;;;
2025/1273152;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;450.000 Adet DN20 mm Eğik Kadranlı, Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;4;2026-02-26;43120000.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;UGETAM Test Sonuçları UYGUN. Royaltest Sonuçları UYGUN.;Düzenleme: Halil (26.03.2026 08:25);35.000;2025-10-28;;0.0;;;;;;;2025-10-29;121 Gün;;;
2025/1273152;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;450.000 Adet DN20 mm Eğik Kadranlı, Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;5;2026-03-28;43120000.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;13/04/2026 TARİHİNDE ROYALTEST'E TESLİM EDİLDİ. ;Düzenleme: Caner (16.04.2026 15:49);35.000;2025-10-28;;1.0;;;;;;;2025-10-29;151 Gün;;;
2025/1273152;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;450.000 Adet DN20 mm Eğik Kadranlı, Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;6;2026-04-27;43120000.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;22/04 UGETAM'A TESLİM EDİLDİ;Düzenleme: Caner (24.04.2026 14:40);35.000;2025-10-28;;0.0;;;;;;;2025-10-29;181 Gün;;;
2025/1273152;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;450.000 Adet DN20 mm Eğik Kadranlı, Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;7;2026-05-27;49280000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;Düzenleme: Halil (25.03.2026 11:09);40.000;2025-10-28;;0.0;;;;;;;2025-10-29;211 Gün;;;
2025/1273152;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;450.000 Adet DN20 mm Eğik Kadranlı, Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;8;2026-06-26;61600000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;Toplu Düzenleme: Halil (25.03.2026 11:10);50.000;2025-10-28;;0.0;;;;;;;2025-10-29;241 Gün;;;
2025/1273152;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;450.000 Adet DN20 mm Eğik Kadranlı, Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;9;2026-07-26;61600000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;Toplu Düzenleme: Halil (25.03.2026 11:10);50.000;2025-10-28;;0.0;;;;;;;2025-10-29;271 Gün;;;
2025/1273152;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;450.000 Adet DN20 mm Eğik Kadranlı, Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;10;2026-08-25;61600000.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Toplu Düzenleme: Halil (25.03.2026 11:10);50.000;2025-10-28;;0.0;;;;;;;2025-10-29;301 Gün;;;
2025/1273152;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;450.000 Adet DN20 mm Eğik Kadranlı, Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;11;2026-09-24;61600000.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Toplu Düzenleme: Halil (25.03.2026 11:10);50.000;2025-10-28;;0.0;;;;;;;2025-10-29;331 Gün;;;
2025/1273152;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;450.000 Adet DN20 mm Eğik Kadranlı, Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;12;2026-10-24;61600000.0;0.0;0.0;0.0;0.0;0.0;;0.0;;Toplu Düzenleme: Halil (25.03.2026 11:10);50.000;2025-10-28;;0.0;;;;;;;2025-10-29;361 Gün;;;
2025/243501;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;500.000 Adet Eğik Kadranlı DN20mm Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;1;2025-06-14;43840000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 23:43);40.000;2025-05-16;;0.0;;;;;;;2025-05-17;29 Gün;;;
2025/243501;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;500.000 Adet Eğik Kadranlı DN20mm Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;2;2025-07-14;43840000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 23:43);40.000;2025-05-16;;0.0;;;;;;;2025-05-17;59 Gün;;;
2025/243501;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;500.000 Adet Eğik Kadranlı DN20mm Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;3;2025-08-13;43840000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 23:43);40.000;2025-05-16;;0.0;;;;;;;2025-05-17;89 Gün;;;
2025/243501;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;500.000 Adet Eğik Kadranlı DN20mm Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;4;2025-09-12;43840000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 23:43);40.000;2025-05-16;;0.0;;;;;;;2025-05-17;119 Gün;;;
2025/243501;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;500.000 Adet Eğik Kadranlı DN20mm Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;5;2025-10-12;43840000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 23:43);40.000;2025-05-16;;0.0;;;;;;;2025-05-17;149 Gün;;;
2025/243501;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;500.000 Adet Eğik Kadranlı DN20mm Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;6;2025-11-11;43840000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 23:43);40.000;2025-05-16;;0.0;;;;;;;2025-05-17;179 Gün;;;
2025/243501;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;500.000 Adet Eğik Kadranlı DN20mm Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;7;2025-12-11;43840000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (12.05.2026 23:43);40.000;2025-05-16;;0.0;;;;;;;2025-05-17;209 Gün;;;
2025/243501;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;500.000 Adet Eğik Kadranlı DN20mm Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;8;2026-01-10;43840000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;08.01.2026 tarihli Kabul evragi duzenlendi.;Toplu Düzenleme: Halil (12.05.2026 23:43);40.000;2025-05-16;;0.0;;;;;;;2025-05-17;239 Gün;;;
2025/243501;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;500.000 Adet Eğik Kadranlı DN20mm Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;9;2026-02-02;43840000.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;04.02.2026 tarihinde UGETAM'a sayaçlar teslim edildi. - Royaltest Sonucu UYGUN - ;Toplu Düzenleme: Halil (12.05.2026 23:43);40.000;2025-05-16;;0.0;;;;;;;2025-05-17;262 Gün;;;
2025/243501;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;500.000 Adet Eğik Kadranlı DN20mm Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;10;2026-03-11;43840000.0;1.0;1.0;1.0;1.0;1.0;;1.0;Test Sonuçları Uygun. 23/03 tarihinde MK yapıldı.;Toplu Düzenleme: Halil (12.05.2026 23:43);40.000;2025-05-16;;0.0;;;;;;;2025-05-17;299 Gün;;;
2025/243501;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;500.000 Adet Eğik Kadranlı DN20mm Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;11;2026-04-10;54800000.0;1.0;1.0;1.0;1.0;1.0;;1.0;;Toplu Düzenleme: Halil (12.05.2026 23:43);50.000;2025-05-16;;0.0;;;;;;;2025-05-17;329 Gün;;;
2025/243501;Baylan Ölçü Aletleri Sanayi ve Ticaret Anonim Şirketi;500.000 Adet Eğik Kadranlı DN20mm Hız Esaslı R100 Soğuk Su Sayacı Temini İşi;12;2026-05-10;54800000.0;1.0;0.0;0.0;0.0;0.0;;0.0;Numuneler seçildi. 6 Mayıs tarihinde Ugetam gelip teslim alacak.;Toplu Düzenleme: Halil (12.05.2026 23:43);50.000;2025-05-16;;0.0;;;;;;;2025-05-17;359 Gün;;;
2024/1447102;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Bağlantı Parçası, Manson Tip Bağlantı Parçası, Stop Vana, Sayaç Rakoru, Nipel ve Nipel Redüksiyon Temini İşi (1.Kısım);1;2025-02-15;16275000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:23);30.000;2025-01-17;;0.0;;;;;280079999,9;;2025-01-18;29 Gün;;;
2024/1447102;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Bağlantı Parçası, Manson Tip Bağlantı Parçası, Stop Vana, Sayaç Rakoru, Nipel ve Nipel Redüksiyon Temini İşi (1.Kısım);2;2025-03-17;16275000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:23);30.000;2025-01-17;;0.0;;;;;280079999,9;;2025-01-18;59 Gün;;;
2024/1447102;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Bağlantı Parçası, Manson Tip Bağlantı Parçası, Stop Vana, Sayaç Rakoru, Nipel ve Nipel Redüksiyon Temini İşi (1.Kısım);3;2025-04-16;16275000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:23);30.000;2025-01-17;;0.0;;;;;280079999,9;;2025-01-18;89 Gün;;;
2024/1447102;Öztuğ Metal Sanayi ve Dış Ticaret Limited Şirketi;CW617N Pirinç Malzemeden Mamul Bağlantı Parçası, Manson Tip Bağlantı Parçası, Stop Vana, Sayaç Rakoru, Nipel ve Nipel Redüksiyon Temini İşi (1.Kısım);4;2025-05-16;16275000.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;Toplu Düzenleme: Halil (14.05.2026 16:23);30.000;2025-01-17;;0.0;;;;;280079999,9;;2025-01-18;119 Gün;;;
